Time,X_Acc,Y_Acc,Z_Acc,Pressure_mBar,Altitude_ft,Ang_Vel_X,Ang_Vel_Y,Ang_Vel_Z,Temp
0,0.2,0,10,987.42,712.7,0.12,0,0.18,294.8
0.1,0.2,0,10.1,987.36,714.4,0.06,0,-0.12,294.8
0.2,0.2,0.1,10.1,987.38,713.7,0.49,0.37,-0.24,294.8
0.3,0.2,0,10,987.4,713.1,0.55,0.37,-0.18,294.8
0.4,0.2,0,10.1,987.39,713.7,0.18,0.43,0.18,295
0.5,0.1,0.1,10.2,987.42,712.7,0.49,0,-0.24,295
0.6,0.2,0.1,10.1,987.39,713.4,0.37,0.12,0.18,294.8
0.7,0.1,0.1,9.9,987.35,714.7,0.06,0,0.18,294.8
0.8,0.2,0,10,987.43,712.1,0.55,0,-0.24,294.8
0.9,0,-0.1,9.9,987.36,714.1,0.06,0.43,0.24,295
1,0.1,0.2,10,987.4,713.1,0.55,0.49,-0.18,295
1.1,0.2,0,10.4,987.36,714.4,0.49,-0.06,-0.18,295
1.2,0,-0.29,9.9,987.41,713.1,0.49,0.06,-0.06,295
1.3,0,0.2,9.9,987.4,713.4,0.12,0.37,0.31,295
1.4,0.29,0.1,10,987.45,711.8,0.49,0,0.18,295
1.5,0.2,0,10,987.42,712.7,0,0,-0.31,295
1.6,0.2,0,10,987.4,713.4,0.49,0.43,-0.31,295
1.7,0.1,0,10.1,987.36,714.4,0.49,0.49,0.31,295
1.8,0.2,0.1,9.9,987.39,713.4,0.49,0,0.18,295
1.9,0.1,0,10,987.33,715,0.49,0.49,-0.24,295
2,0.1,0,9.9,987.42,712.7,0.06,0.43,-0.18,295
2.1,0.2,0.1,10,987.36,714.4,0.12,0.43,-0.18,295
2.2,0.2,0,10,987.39,713.4,0.06,0.37,-0.18,295
2.3,0.2,0.1,10,987.36,714.4,0,0.43,0.43,295
2.4,0.2,0,10.2,987.4,713.1,1.59,-0.61,23.13,295
2.5,0.39,0.1,10.1,987.34,714.7,5.62,-4.27,14.59,295
2.6,0.1,0.2,10.59,987.39,713.7,11.72,-5.19,4.82,295
2.7,0.1,0.88,11.28,987.38,713.7,-8.54,-7.26,-4.03,295
2.8,0,0.59,10.98,987.33,715,7.51,-0.79,-3.66,295
2.9,0.29,-0.2,11.08,987.36,714.4,-3.11,-14.1,-6.59,295
3,1.08,0.39,10.79,987.36,714.4,-6.96,5.55,-23.86,295
3.1,1.08,-0.29,10.2,987.42,712.7,1.28,-18.19,9.64,295
3.2,1.08,0.2,10.89,987.36,714.4,0.18,8.79,2.99,295
3.3,0.39,-0.49,10.49,987.31,715.7,0.79,2.69,11.9,295
3.4,1.18,0.69,10.89,987.35,714.7,2.62,6.96,7.51,295
3.5,1.27,-1.08,9.41,987.35,714.4,-13.55,6.77,9.46,295
3.6,0.2,0.29,10.59,987.34,715,-20.02,11.78,-5.62,295
3.7,0.88,-1.18,10.2,987.33,715.4,-13.12,-3.17,4.46,295
3.8,1.27,0.2,10.49,987.26,717.3,18.07,-11.54,-18.8,295
3.9,1.18,-1.08,9.61,987.3,716,38.15,-4.82,6.77,295
4,0.78,-0.98,11.47,987.3,716,20.2,-13.61,23.01,295
4.1,0.78,1.08,11.38,987.29,716.4,24.23,12.15,8.85,295
4.2,0.2,0.69,9.41,987.3,716,-2.26,21.97,-6.77,295
4.3,0.78,-0.59,8.92,987.25,717.7,-28.26,12.39,-4.88,295
4.4,-0.29,-0.39,9.12,987.26,717,7.57,12.33,12.15,295
4.5,-0.39,0.49,9.81,987.25,717.3,24.41,9.83,17.15,295
4.6,0.2,1.27,10.1,987.22,718.3,5.86,0.73,7.51,295
4.7,0.49,0.88,9.71,987.16,720,13.18,-0.55,22.89,295
4.8,0.39,0.98,10.59,987.24,717.7,-8.61,4.76,7.45,295
4.9,0.29,0.2,9.22,987.26,717,-22.34,2.01,-3.17,295
5,0.1,0.78,9.81,987.16,720,-2.32,-7.08,-9.03,295
5.1,0.2,0.49,9.81,987.24,717.7,-10.19,-2.26,-18.31,295
5.2,-0.29,0.49,8.92,987.21,718.6,7.69,3.42,-30.88,295
5.3,0.1,0.39,9.02,987.17,719.6,-43.88,-6.29,-36.13,295
5.4,0.29,-0.1,10.1,987.23,718,-37.54,-0.37,-37.9,295
5.5,0.2,-0.59,8.43,987.21,718.6,-14.34,9.09,-11.54,295
5.6,-0.78,-0.29,9.61,987.13,720.9,70.68,34.36,-19.29,295
5.7,-0.39,0.39,10.2,987.19,719,-51.15,-16.42,-19.41,295
5.8,-0.49,0.2,7.65,987.19,719.3,-7.02,-38.94,26.49,295
5.9,0.2,-1.27,10.4,987.12,720.9,-41.69,-4.52,-2.44,295
6,1.08,-1.27,11.38,987.2,719,10.93,-33.57,18.86,295
6.1,0.78,-0.88,12.26,987.17,719.6,-15.44,19.9,10.31,295
6.2,0.39,-1.27,11.47,987.16,720,-21.67,36.68,-27.1,295
6.3,2.45,-2.84,12.26,987.16,720,-0.73,-35.16,23.74,295
6.4,2.26,-1.86,10.98,987.19,719,22.83,-22.95,39.37,295
6.5,0.98,-2.16,5.88,987.16,720,-0.55,-21.55,19.65,295
6.6,3.53,0.39,6.28,987.16,720,-41.26,-9.83,3.36,295
6.7,1.67,-3.43,8.73,987.13,720.6,3.91,9.7,-16.85,295
6.8,0.78,-4.22,8.73,987.07,722.3,23.74,23.44,-0.73,295
